E_Code NRIC Phone
TFTBYS H22779228 85670570
XDVSTY W14372211 96841548
ZLOTNS L13126691 87129676
XYOQDE U62261805 82247950
ELJMNX Y63331209 82001809
JNBAWS J53583275 90979102
DHAOJG X25469023 82714659
EVTXDF E55926940 83476729
VXZFTH V23776523 99672106
QGKXSN M98243414 83537365
XVEWRT B54062674 85783856
UHBOPB V47790511 90161268
FIYTLF W79734515 86759716
XMBZFY V81952780 80721160
ZWJUBS J72079032 85305979
DNDOHO U03927006 92779900
LZOMJS K22484920 81785172
EGZMIA K56527550 88208777
JEGYUC H36565825 84237493
NFVLMW S63626408 81810304

